type,name,code
Digital Currency,Expanse (EXP),EXP
Digital Currency,Factom (FCT),FCT
Digital Currency,FoldingCoin (FLDC),FLDC
Digital Currency,FlorinCoin (FLO),FLO
Digital Currency,FlutterCoin (FLT),FLT
Digital Currency,FirstCoin (FRST),FRST
Digital Currency,Feathercoin (FTC),FTC
Digital Currency,Etherparty (FUEL),FUEL
Digital Currency,FunFair (FUN),FUN
Digital Currency,Gambit (GAM),GAM
Digital Currency,GameCredits (GAME),GAME
Digital Currency,Gas (GAS),GAS
Digital Currency,Golos Gold (GBG),GBG
Digital Currency,GoByte (GBX),GBX
Digital Currency,Byteball (GBYTE),GBYTE
Digital Currency,GCRCoin (GCR),GCR
Digital Currency,GeoCoin (GEO),GEO
Digital Currency,GoldCoin (GLD),GLD
Digital Currency,Gnosis-Token (GNO),GNO
Digital Currency,Golem-Tokens (GNT),GNT
Digital Currency,Golos (GOLOS),GOLOS
Digital Currency,Gridcoin (GRC),GRC
Digital Currency,Groestlcoin (GRS),GRS
Digital Currency,Growers-International (GRWI),GRWI
Digital Currency,Game (GTC),GTC
Digital Currency,Gifto (GTO),GTO
Digital Currency,Guppy (GUP),GUP
Digital Currency,Genesis-Vision (GVT),GVT
Digital Currency,GXShares (GXS),GXS
Digital Currency,HoboNickels (HBN),HBN
Digital Currency,HEAT (HEAT),HEAT
Digital Currency,Humaniq (HMQ),HMQ
Digital Currency,High-Performance-Blockchain (HPB),HPB
Digital Currency,Hshare (HSR),HSR
Digital Currency,Hush (HUSH),HUSH
Digital Currency,Hive (HVN),HVN
Digital Currency,HexxCoin (HXX),HXX
Digital Currency,ICONOMI (ICN),ICN
Digital Currency,ICON (ICX),ICX
Digital Currency,Infinitecoin (IFC),IFC
Digital Currency,investFeed (IFT),IFT
Digital Currency,Ignis (IGNIS),IGNIS
Digital Currency,Incent (INCNT),INCNT
Digital Currency,Indorse-Token (IND),IND
Digital Currency,InfChain (INF),INF
Digital Currency,Ink (INK),INK
Digital Currency,INS-Ecosystem (INS),INS
Digital Currency,Insights-Network (INSTAR),INSTAR
Digital Currency,Internet-Node-Token (INT),INT
Digital Currency,Internxt (INXT),INXT
Digital Currency,IOCoin (IOC),IOC
Digital Currency,ION (ION),ION
Digital Currency,Internet-of-People (IOP),IOP
Digital Currency,IOStoken (IOST),IOST
Digital Currency,IOTA (IOTA),IOTA
Digital Currency,IoTeX (IOTX),IOTX
Digital Currency,Iquant-Chain (IQT),IQT
Digital Currency,IoT-Chain (ITC),ITC
Digital Currency,iXcoin (IXC),IXC
Digital Currency,InsureX (IXT),IXT
Digital Currency,JET8 (J8T),J8T
Digital Currency,Jibrel-Network (JNT),JNT
Digital Currency,KuCoin (KCS),KCS
Digital Currency,KickCoin (KICK),KICK
Digital Currency,KIN (KIN),KIN
Digital Currency,Komodo (KMD),KMD
Digital Currency,Kyber-Network (KNC),KNC
Digital Currency,KoreCoin (KORE),KORE
Digital Currency,LBRY-Credits (LBC),LBC
Digital Currency,Litecoin-Cash (LCC),LCC
Digital Currency,EthLend (LEND),LEND
Digital Currency,Leverj (LEV),LEV
Digital Currency,Legends-Room (LGD),LGD
Digital Currency,Linda (LINDA),LINDA
Digital Currency,ChainLink (LINK),LINK
Digital Currency,Lykke (LKK),LKK
Digital Currency,LoMoCoin (LMC),LMC
Digital Currency,LOCIcoin (LOCI),LOCI
Digital Currency,Loom-Token (LOOM),LOOM
Digital Currency,Loopring (LRC),LRC
Digital Currency,Lisk (LSK),LSK
Digital Currency,Litecoin (LTC),LTC
Digital Currency,Lunyr (LUN),LUN
Digital Currency,MaidSafeCoin (MAID),MAID
Digital Currency,Decentraland (MANA),MANA
Digital Currency,Maxcoin (MAX),MAX
Digital Currency,Embers (MBRS),MBRS
Digital Currency,MCAP (MCAP),MCAP
Digital Currency,Monaco (MCO),MCO
Digital Currency,Moeda-Loyalty-Points (MDA),MDA
Digital Currency,Megacoin (MEC),MEC
Digital Currency,MediBlock (MED),MED
Digital Currency,Memetic (MEME),MEME
Digital Currency,Mercury (MER),MER
Digital Currency,MergeCoin (MGC),MGC
Digital Currency,MobileGo (MGO),MGO
Digital Currency,Minex (MINEX),MINEX
Digital Currency,Mintcoin (MINT),MINT
Digital Currency,Mithril (MITH),MITH
Digital Currency,Maker (MKR),MKR
Digital Currency,Melon (MLN),MLN
Digital Currency,Minereum (MNE),MNE
Digital Currency,MinexCoin (MNX),MNX
Digital Currency,Modum (MOD),MOD
Digital Currency,MonaCoin (MONA),MONA
Digital Currency,Miners-Reward-Token (MRT),MRT
Digital Currency,Mothership (MSP),MSP
Digital Currency,Monetha (MTH),MTH
Digital Currency,MedToken (MTN),MTN
Digital Currency,MonetaryUnit (MUE),MUE
Digital Currency,Musicoin (MUSIC),MUSIC
Digital Currency,MyBit-Token (MYB),MYB
Digital Currency,Mysterium (MYST),MYST
Digital Currency,Mazacoin (MZC),MZC
Digital Currency,Namocoin (NAMO),NAMO
Digital Currency,Nano (NANO),NANO
Digital Currency,Nebulas-Token (NAS),NAS
Digital Currency,Nav-Coin (NAV),NAV
Digital Currency,NuBits (NBT),NBT
Digital Currency,Nucleus-Vision (NCASH),NCASH
Digital Currency,NeverDie-Coin (NDC),NDC
Digital Currency,Neblio (NEBL),NEBL
Digital Currency,NEO (NEO),NEO
Digital Currency,NeosCoin (NEOS),NEOS
Digital Currency,Nimiq (NET),NET
Digital Currency,NoLimitCoin (NLC2),NLC2
Digital Currency,Gulden (NLG),NLG
Digital Currency,Namecoin (NMC),NMC
Digital Currency,Numeraire (NMR),NMR
Digital Currency,NobleCoin (NOBL),NOBL
Digital Currency,DNotes (NOTE),NOTE
Digital Currency,Pundi-X-Token (NPXS),NPXS
Digital Currency,NuShares (NSR),NSR
Digital Currency,Fujinto (NTO),NTO
Digital Currency,Nuls (NULS),NULS
Digital Currency,Novacoin (NVC),NVC
Digital Currency,Nexium (NXC),NXC
Digital Currency,Nexus (NXS),NXS
Digital Currency,Nxt (NXT),NXT
Digital Currency,openANX (OAX),OAX
Digital Currency,Obits (OBITS),OBITS
Digital Currency,Oceanlab (OCL),OCL
Digital Currency,Odyssey (OCN),OCN
Digital Currency,ODEM (ODEM),ODEM
Digital Currency,Obsidian (ODN),ODN
Digital Currency,OFCOIN (OF),OF
Digital Currency,OKCash (OK),OK
Digital Currency,OmiseGo (OMG),OMG
Digital Currency,Omni (OMNI),OMNI
Digital Currency,DeepOnion (ONION),ONION
Digital Currency,Ontology (ONT),ONT
Digital Currency,Opus (OPT),OPT
Digital Currency,Simple-Token (OST),OST
Digital Currency,Particl (PART),PART
Digital Currency,PascalCoin (PASC),PASC
Digital Currency,TenX (PAY),PAY
Digital Currency,Pebbles (PBL),PBL
Digital Currency,Primalbase-Token (PBT),PBT
Digital Currency,Payfair (PFR),PFR
Digital Currency,CryptoPing (PING),PING
Digital Currency,Pinkcoin (PINK),PINK
Digital Currency,PIVX (PIVX),PIVX
Digital Currency,Lampix (PIX),PIX
Digital Currency,Polybius (PLBT),PLBT
Digital Currency,Pillar (PLR),PLR
Digital Currency,Pluton (PLU),PLU
Digital Currency,POA-Network (POA),POA
Digital Currency,Poet (POE),POE
Digital Currency,Polymath (POLY),POLY
Digital Currency,PoSW-Coin (POSW),POSW
Digital Currency,PotCoin (POT),POT
Digital Currency,Power-Ledger (POWR),POWR
Digital Currency,Peercoin (PPC),PPC
Digital Currency,Populous (PPT),PPT
Digital Currency,Peerplays (PPY),PPY
Digital Currency,Paragon-Coin (PRG),PRG
Digital Currency,Oyster-Pearl (PRL),PRL
Digital Currency,Propy (PRO),PRO
Digital Currency,Primas (PST),PST
Digital Currency,Pesetacoin (PTC),PTC
Digital Currency,Patientory (PTOY),PTOY
Digital Currency,Pura (PURA),PURA
Digital Currency,QASH (QASH),QASH
Digital Currency,Quantum (QAU),QAU
Digital Currency,Qlink (QLC),QLC
Digital Currency,Quark (QRK),QRK
Digital Currency,Quantum-Resistant-Ledger (QRL),QRL
Digital Currency,Quantstamp (QSP),QSP
Digital Currency,Quatloo (QTL),QTL
Digital Currency,Qtum (QTUM),QTUM
Digital Currency,Qwark (QWARK),QWARK
Digital Currency,Revain (R),R
Digital Currency,Radium (RADS),RADS
Digital Currency,Condensate (RAIN),RAIN
Digital Currency,Rubies (RBIES),RBIES
Digital Currency,Ripto-Bux (RBX),RBX
Digital Currency,RubyCoin (RBY),RBY
Digital Currency,Ripio-Credit-Network (RCN),RCN
Digital Currency,ReddCoin (RDD),RDD
Digital Currency,Raiden-Network-Token (RDN),RDN
Digital Currency,Regalcoin (REC),REC
Digital Currency,Redcoin (RED),RED
Digital Currency,Augur (REP),REP
Digital Currency,Request-Network (REQ),REQ
Digital Currency,RChain (RHOC),RHOC
Digital Currency,Riecoin (RIC),RIC
Digital Currency,Rise (RISE),RISE
Digital Currency,RLC-Token (RLC),RLC
Digital Currency,RouletteToken (RLT),RLT
Digital Currency,Red-Pulse (RPX),RPX
Digital Currency,Recovery-Right-Tokens (RRT),RRT
Digital Currency,Ruff (RUFF),RUFF
Digital Currency,Rupee (RUP),RUP
Digital Currency,Rivetz (RVT),RVT
Digital Currency,SafeExchangeCoin (SAFEX),SAFEX
Digital Currency,Salt (SALT),SALT
Digital Currency,Santiment-Network-Token (SAN),SAN
Digital Currency,Steem-Dollars (SBD),SBD
Digital Currency,Super-Bitcoin (SBTC),SBTC
Digital Currency,Siacoin (SC),SC
Digital Currency,Seele (SEELE),SEELE
Digital Currency,Sequence (SEQ),SEQ
Digital Currency,SHIFT (SHIFT),SHIFT
Digital Currency,SIBCoin (SIB),SIB
Digital Currency,SIGMAcoin (SIGMA),SIGMA
Digital Currency,Signatum (SIGT),SIGT
Digital Currency,Storjcoin-X (SJCX),SJCX
Digital Currency,SkinCoin (SKIN),SKIN
Digital Currency,Skycoin (SKY),SKY
Digital Currency,SolarCoin (SLR),SLR
Digital Currency,SaluS (SLS),SLS
Digital Currency,SmartCash (SMART),SMART
Digital Currency,SmartMesh (SMT),SMT
Digital Currency,SunContract (SNC),SNC
Digital Currency,SingularDTV (SNGLS),SNGLS
Digital Currency,SONM (SNM),SNM
Digital Currency,Synergy (SNRG),SNRG
Digital Currency,Status-Network-Token (SNT),SNT
Digital Currency,All-Sports (SOC),SOC
Digital Currency,Phantasma (SOUL),SOUL
Digital Currency,SpankChain (SPANK),SPANK
Digital Currency,SpaceChain (SPC),SPC
Digital Currency,Sphere (SPHR),SPHR
Digital Currency,SpreadCoin (SPR),SPR
Digital Currency,Sirin-Labs-Token (SRN),SRN
Digital Currency,Startcoin (START),START
Digital Currency,Steem (STEEM),STEEM
Digital Currency,STK-Token (STK),STK
Digital Currency,Storj (STORJ),STORJ
Digital Currency,Storm (STORM),STORM
Digital Currency,Storiqa (STQ),STQ
Digital Currency,Stratis (STRAT),STRAT
Digital Currency,Stox (STX),STX
Digital Currency,Substratum (SUB),SUB
Digital Currency,SwftCoin (SWFTC),SWFTC
Digital Currency,Bitswift (SWIFT),SWIFT
Digital Currency,Swarm-City (SWT),SWT
Digital Currency,Syndicate (SYNX),SYNX
Digital Currency,SysCoin (SYS),SYS
Digital Currency,Taas (TAAS),TAAS
Digital Currency,Lamden (TAU),TAU
Digital Currency,The-ChampCoin (TCC),TCC
Digital Currency,True-Flip (TFL),TFL
Digital Currency,HempCoin (THC),THC
Digital Currency,Theta-Token (THETA),THETA
Digital Currency,Time (TIME),TIME
Digital Currency,Blocktix (TIX),TIX
Digital Currency,TokenCard (TKN),TKN
Digital Currency,Trackr (TKR),TKR
Digital Currency,Tokes (TKS),TKS
Digital Currency,Time-New-Bank (TNB),TNB
Digital Currency,Tierion (TNT),TNT
Digital Currency,ToaCoin (TOA),TOA
Digital Currency,OriginTrail (TRAC),TRAC
Digital Currency,Terracoin (TRC),TRC
Digital Currency,Tracto (TRCT),TRCT
Digital Currency,Triggers (TRIG),TRIG
Digital Currency,Trustcoin (TRST),TRST
Digital Currency,TrueChain (TRUE),TRUE
Digital Currency,TrustPlus (TRUST),TRUST
Digital Currency,Tronix (TRX),TRX
Digital Currency,TrueUSD (TUSD),TUSD
Digital Currency,TransferCoin (TX),TX
Digital Currency,Ubiq (UBQ),UBQ
Digital Currency,UnikoinGold (UKG),UKG
Digital Currency,Ulatech (ULA),ULA
Digital Currency,UnbreakableCoin (UNB),UNB
Digital Currency,SuperNET (UNITY),UNITY
Digital Currency,Unobtanium (UNO),UNO
Digital Currency,Unity-Ingot (UNY),UNY
Digital Currency,UpToken (UP),UP
Digital Currency,Uro (URO),URO
Digital Currency,Tether (USDT),USDT
Digital Currency,UTrust (UTK),UTK
Digital Currency,BLOCKv (VEE),VEE
Digital Currency,VeChain (VEN),VEN
Digital Currency,Veritaseum (VERI),VERI
Digital Currency,Viacoin (VIA),VIA
Digital Currency,Viberate (VIB),VIB
Digital Currency,Vibe (VIBE),VIBE
Digital Currency,VIVO (VIVO),VIVO
Digital Currency,Voise (VOISE),VOISE
Digital Currency,Voxels (VOX),VOX
Digital Currency,VPNCoin (VPN),VPN
Digital Currency,Vericoin (VRC),VRC
Digital Currency,Verium (VRM),VRM
Digital Currency,Veros (VRS),VRS
Digital Currency,vSlice (VSL),VSL
Digital Currency,Vertcoin (VTC),VTC
Digital Currency,vTorrent (VTR),VTR
Digital Currency,WaBi (WABI),WABI
Digital Currency,Wanchain (WAN),WAN
Digital Currency,Waves (WAVES),WAVES
Digital Currency,Wax-Token (WAX),WAX
Digital Currency,Waves-Community (WCT),WCT
Digital Currency,WorldCoin (WDC),WDC
Digital Currency,WavesGo (WGO),WGO
Digital Currency,Wagerr (WGR),WGR
Digital Currency,Wings (WINGS),WINGS
Digital Currency,WePower (WPR),WPR
Digital Currency,Walton (WTC),WTC
Digital Currency,Giga-Watt-Token (WTT),WTT
Digital Currency,Asch (XAS),XAS
Digital Currency,Xaurum (XAUR),XAUR
Digital Currency,Bitcoin-Plus (XBC),XBC
Digital Currency,XtraBYtes (XBY),XBY
Digital Currency,Cryptonite (XCN),XCN
Digital Currency,Counterparty (XCP),XCP
Digital Currency,DigitalNote (XDN),XDN
Digital Currency,Elastic (XEL),XEL
Digital Currency,NEM (XEM),XEM
Digital Currency,Sphere-Identity (XID),XID
Digital Currency,Stellar (XLM),XLM
Digital Currency,Magi (XMG),XMG
Digital Currency,Monero (XMR),XMR
Digital Currency,Metal (XMT),XMT
Digital Currency,Myriadcoin (XMY),XMY
Digital Currency,Primecoin (XPM),XPM
Digital Currency,Rialto (XRL),XRL
Digital Currency,Ripple (XRP),XRP
Digital Currency,Spectrecoin (XSPEC),XSPEC
Digital Currency,Stealthcoin (XST),XST
Digital Currency,Tezos (XTZ),XTZ
Digital Currency,Exchange-Union (XUC),XUC
Digital Currency,Vcash (XVC),XVC
Digital Currency,Verge (XVG),XVG
Digital Currency,WhiteCoin (XWC),XWC
Digital Currency,ZCoin (XZC),XZC
Digital Currency,ZrCoin (XZR),XZR
Digital Currency,Yee (YEE),YEE
Digital Currency,YOYOW (YOYOW),YOYOW
Digital Currency,ZcCoin (ZCC),ZCC
Digital Currency,Zclassic (ZCL),ZCL
Digital Currency,Zebi (ZCO),ZCO
Digital Currency,Zcash (ZEC),ZEC
Digital Currency,ZenCash (ZEN),ZEN
Digital Currency,Zetacoin (ZET),ZET
Digital Currency,Zilliqa (ZIL),ZIL
Digital Currency,Zilla (ZLA),ZLA
Digital Currency,0x (ZRX),ZRX
Physical Currency,United Arab Emirates Dirham (AED),AED
Physical Currency,Afghan Afghani (AFN),AFN
Physical Currency,Albanian Lek (ALL),ALL
Physical Currency,Armenian Dram (AMD),AMD
Physical Currency,Netherlands Antillean Guilder (ANG),ANG
Physical Currency,Angolan Kwanza (AOA),AOA
Physical Currency,Argentine Peso (ARS),ARS
Physical Currency,Australian Dollar (AUD),AUD
Physical Currency,Aruban Florin (AWG),AWG
Physical Currency,Azerbaijani Manat (AZN),AZN
Physical Currency,Bosnia-Herzegovina Convertible Mark (BAM),BAM
Physical Currency,Barbadian Dollar (BBD),BBD
Physical Currency,Bangladeshi Taka (BDT),BDT
Physical Currency,Bulgarian Lev (BGN),BGN
Physical Currency,Bahraini Dinar (BHD),BHD
Physical Currency,Burundian Franc (BIF),BIF
Physical Currency,Bermudan Dollar (BMD),BMD
Physical Currency,Brunei Dollar (BND),BND
Physical Currency,Bolivian Boliviano (BOB),BOB
Physical Currency,Brazilian Real (BRL),BRL
Physical Currency,Bahamian Dollar (BSD),BSD
Physical Currency,Bhutanese Ngultrum (BTN),BTN
Physical Currency,Botswanan Pula (BWP),BWP
Physical Currency,Belize Dollar (BZD),BZD
Physical Currency,Canadian Dollar (CAD),CAD
Physical Currency,Congolese Franc (CDF),CDF
Physical Currency,Swiss Franc (CHF),CHF
Physical Currency,Chilean Unit of Account UF (CLF),CLF
Physical Currency,Chilean Peso (CLP),CLP
Physical Currency,Chinese Yuan Offshore (CNH),CNH
Physical Currency,Chinese Yuan (CNY),CNY
Physical Currency,Colombian Peso (COP),COP
Physical Currency,Cuban Peso (CUP),CUP
Physical Currency,Cape Verdean Escudo (CVE),CVE
Physical Currency,Czech Republic Koruna (CZK),CZK
Physical Currency,Djiboutian Franc (DJF),DJF
Physical Currency,Danish Krone (DKK),DKK
Physical Currency,Dominican Peso (DOP),DOP
Physical Currency,Algerian Dinar (DZD),DZD
Physical Currency,Egyptian Pound (EGP),EGP
Physical Currency,Eritrean Nakfa (ERN),ERN
Physical Currency,Ethiopian Birr (ETB),ETB
Physical Currency,Euro (EUR),EUR
Physical Currency,Fijian Dollar (FJD),FJD
Physical Currency,Falkland Islands Pound (FKP),FKP
Physical Currency,British Pound Sterling (GBP),GBP
Physical Currency,Georgian Lari (GEL),GEL
Physical Currency,Ghanaian Cedi (GHS),GHS
Physical Currency,Gibraltar Pound (GIP),GIP
Physical Currency,Gambian Dalasi (GMD),GMD
Physical Currency,Guinean Franc (GNF),GNF
Physical Currency,Guatemalan Quetzal (GTQ),GTQ
Physical Currency,Guyanaese Dollar (GYD),GYD
Physical Currency,Hong Kong Dollar (HKD),HKD
Physical Currency,Honduran Lempira (HNL),HNL
Physical Currency,Croatian Kuna (HRK),HRK
Physical Currency,Haitian Gourde (HTG),HTG
Physical Currency,Hungarian Forint (HUF),HUF
Physical Currency,Indonesian Rupiah (IDR),IDR
Physical Currency,Israeli New Sheqel (ILS),ILS
Physical Currency,Indian Rupee (INR),INR
Physical Currency,Iraqi Dinar (IQD),IQD
Physical Currency,Iranian Rial (IRR),IRR
Physical Currency,Icelandic Krona (ISK),ISK
Physical Currency,Jersey Pound (JEP),JEP
Physical Currency,Jamaican Dollar (JMD),JMD
Physical Currency,Jordanian Dinar (JOD),JOD
Physical Currency,Japanese Yen (JPY),JPY
Physical Currency,Kenyan Shilling (KES),KES
Physical Currency,Kyrgystani Som (KGS),KGS
Physical Currency,Cambodian Riel (KHR),KHR
Physical Currency,Comorian Franc (KMF),KMF
Physical Currency,North Korean Won (KPW),KPW
Physical Currency,South Korean Won (KRW),KRW
Physical Currency,Kuwaiti Dinar (KWD),KWD
Physical Currency,Cayman Islands Dollar (KYD),KYD
Physical Currency,Kazakhstani Tenge (KZT),KZT
Physical Currency,Laotian Kip (LAK),LAK
Physical Currency,Lebanese Pound (LBP),LBP
Physical Currency,Sri Lankan Rupee (LKR),LKR
Physical Currency,Liberian Dollar (LRD),LRD
Physical Currency,Lesotho Loti (LSL),LSL
Physical Currency,Libyan Dinar (LYD),LYD
Physical Currency,Moroccan Dirham (MAD),MAD
Physical Currency,Moldovan Leu (MDL),MDL
Physical Currency,Malagasy Ariary (MGA),MGA
Physical Currency,Macedonian Denar (MKD),MKD
Physical Currency,Myanma Kyat (MMK),MMK
Physical Currency,Mongolian Tugrik (MNT),MNT
Physical Currency,Macanese Pataca (MOP),MOP
Physical Currency,Mauritanian Ouguiya (pre-2018) (MRO),MRO
Physical Currency,Mauritanian Ouguiya (MRU),MRU
Physical Currency,Mauritian Rupee (MUR),MUR
Physical Currency,Maldivian Rufiyaa (MVR),MVR
